time,temperature,temperature_filtered
88.113,44.18,44.04337365151945
88.513,44.18,44.15998692383066
88.913,44.35,44.26180124223537
89.313,44.35,44.38862700228768
89.713,44.53,44.50983981693298
90.113,44.53,44.639225237004894
90.513,44.7,44.74455377574305
90.913,44.87,44.816423667864655
91.313,44.87,44.90890813991433
91.713,45.05,45.02132723112062
92.113,45.22,45.1326315789467
92.513,45.22,45.26509643674336
92.913,45.39,45.391343576331465
93.313,45.39,45.52417783589341
93.713,45.73,45.65212160836807
94.113,45.73,45.78745668519056
94.513,45.9,45.92660019614185
94.913,46.07,46.06708728342527
95.313,46.24,46.22036286368025
95.713,46.41,46.359150049034945
96.113,46.57,46.497257273618146
96.513,46.57,46.6456358287015
96.913,46.74,46.77707420725658
97.313,46.91,46.91348806799538
97.713,47.07,47.02822491010065
98.113,47.24,47.148725073552754
98.513,47.24,47.262278522392236
98.913,47.4,47.36713958809999
99.313,47.4,47.4659692710029
99.713,47.57,47.57183393265702
100.113,47.73,47.67407322654392
100.513,47.73,47.77559333115327
100.913,47.9,47.86542334096038
101.313,47.9,47.96529584831573
101.713,48.06,48.06461588754424
102.113,48.22,48.175299117357895
102.513,48.22,48.28786531546185
102.913,48.38,48.391405688132664
103.313,48.55,48.49842759071521
103.713,48.55,48.5986171951611
104.113,48.71,48.712935599868516
104.513,48.87,48.83001634521013
104.913,49.03,48.94799607714867
105.313,49.03,49.06591369728597
105.713,49.19,49.1724354364164
106.113,49.19,49.28858777378155
106.513,49.35,49.40415495259815
106.913,49.51,49.50749264465438
107.313,49.67,49.61071592023464
107.713,49.82,49.72684210526242
108.113,49.82,49.83072572736115
108.513,49.98,49.93364498201953
108.913,49.98,50.039395227197694
109.313,50.14,50.15034324942718
109.713,50.3,50.25588100686424
110.113,50.3,50.38415822164032
110.513,50.45,50.47979078130033
110.913,50.61,50.58163779012674
111.313,50.77,50.700062111800484
111.713,50.77,50.823471722784475
112.113,50.92,50.937597254003826
112.513,51.08,51.073919581561846
112.913,51.23,51.22471068976714
113.313,51.39,51.36453416148992
113.713,51.54,51.51276234063343
114.113,51.39,51.64109839816857
114.513,51.85,51.77304674730227
114.913,52.0,51.913085975808315
115.313,52.0,52.05031709708978
115.713,52.16,52.19523373651443
116.113,52.61,52.314112455049894
116.513,52.46,52.438564890486305
116.913,52.46,52.55775743707015
117.313,52.61,52.673520758417
117.713,52.61,52.7877182085641
118.113,53.07,52.90168682575927
118.513,53.07,52.99864007845623
118.913,53.07,53.11118993134932
119.313,53.22,53.216041189930564
119.713,53.22,53.32350768224831
120.113,53.52,53.43183066361477
120.513,53.52,53.56861065707669
120.913,53.67,53.70975482183641
121.313,53.81,53.82602157567752
121.713,53.96,53.94188296828949
122.113,54.11,54.036544622424834
122.513,54.11,54.18609676364745
122.913,54.26,54.3142203334415
123.313,54.56,54.42402419091126
123.713,54.56,54.54651193200312
124.113,54.7,54.65726708074454
124.513,54.85,54.7873259235036
124.913,54.7,54.9038509316762
125.313,55.0,55.017911082052144
125.713,55.14,55.12985943118584
126.113,55.44,55.25076495586711
126.513,55.14,55.370268061457175
126.913,55.44,55.47713958809986
127.313,55.73,55.581052631578125
127.713,55.73,55.69829029094393
128.113,55.87,55.80874468780564
128.513,55.87,55.92268061457909
128.913,56.02,56.042536776723594
129.313,56.16,56.14315789473601
129.713,56.31,56.25525335076739
130.113,56.31,56.379718862372485
130.513,56.45,56.512101994114886
130.913,56.59,56.62585158548462
131.313,56.74,56.73237005557288
131.713,56.88,56.88525008172522
132.113,57.03,57.02770513239537
132.513,57.17,57.169228506046885
132.913,57.31,57.30668192219595
133.313,57.45,57.43782935599784
133.713,57.6,57.56381170317012
134.113,57.6,57.68723112128061
134.513,57.88,57.79607061131003
134.913,57.88,57.908126838835365
135.313,58.3,58.01246812683798
135.713,58.02,58.11225563909688
136.113,58.16,58.207793396533944
136.513,58.3,58.293922850603906
136.913,58.3,58.39188296828942
137.313,58.44,58.49084014383699
137.713,58.58,58.58476626348392
138.113,58.72,58.6963615560632
138.513,58.87,58.793808434127925
138.913,58.87,58.91893756129366
139.313,59.01,59.033223275579374
139.713,59.14,59.1902582543306
140.113,59.28,59.326185027785975
140.513,59.56,59.46542987904456
140.913,59.56,59.60949983654701
141.313,59.7,59.75366786531458
141.713,59.98,59.89410918600761
142.113,59.98,60.03180451127731
142.513,60.26,60.16829355998603
142.913,60.26,60.30458973520669
143.313,60.53,60.43637463223186
143.713,60.53,60.559888852565294
144.113,60.67,60.6758352402737
144.513,60.81,60.78491663942375
144.913,60.94,60.90081072245742
