time,temperature,temperature_filtered
30.192,40.55,40.57233082706706
30.592,40.74,40.69445570447798
30.992,40.74,40.8175939849618
31.392,40.93,40.93970251716186
31.792,41.11,41.07588100686438
32.192,41.3,41.18744033997977
32.592,41.3,41.31488394900233
32.992,41.48,41.456234063418805
33.392,41.48,41.582929061784284
33.792,41.67,41.70982347172217
34.192,41.85,41.8240405361223
34.592,42.03,41.9499411572403
34.992,42.03,42.07558352402684
35.392,42.22,42.188715266426314
35.792,42.22,42.312893102320395
36.192,42.58,42.43537103628574
36.592,42.58,42.561104936253045
36.992,42.58,42.687443609021926
37.392,42.76,42.81285387381433
37.792,42.94,42.93437397842368
38.192,43.12,43.05084668192156
38.592,43.12,43.16642366786468
38.992,43.3,43.294449166393605
39.392,43.47,43.407214776069964
39.792,43.47,43.5204282445237
40.192,43.65,43.63069957502387
40.592,43.83,43.752899640404706
40.992,43.83,43.8646943445564
41.392,44.0,43.97424975482119
41.792,44.0,44.0802288329513
42.192,44.18,44.196106570774106
42.592,44.35,44.31110493625302
42.992,44.35,44.41357633213403
43.392,44.53,44.51762013729911
43.792,44.7,44.62640405361163
44.192,44.7,44.737819548871514
44.592,44.87,44.850660346517806
44.992,45.05,44.96902909447465
45.392,45.05,45.080820529584166
45.792,45.22,45.20827721477541
46.192,45.22,45.32507355344816
46.592,45.39,45.44398169336316
46.992,45.56,45.56774436090158
47.392,45.73,45.68488394900226
47.792,45.9,45.807682249100324
48.192,45.9,45.93895063746254
48.592,46.07,46.06529257927359
48.992,46.24,46.199058515854176
49.392,46.41,46.35207257273551
49.792,46.41,46.49600849950896
50.192,46.57,46.64328211833864
50.592,46.74,46.789542334095415
50.992,46.91,46.931899313500445
51.392,47.07,47.07242889833209
51.792,47.24,47.21268061457923
52.192,47.4,47.364609349459904
52.592,47.57,47.50110493625298
52.992,47.73,47.63381170317027
53.392,47.73,47.76490356325526
53.792,47.9,47.896587119973134
54.192,48.06,48.01576332134613
54.592,48.06,48.1327492644648
54.992,48.22,48.258764302058786
55.392,48.38,48.38164432821112
55.792,48.55,48.503350768224195
56.192,48.55,48.634821837200974
56.592,48.71,48.76361229159784
56.992,48.87,48.893174239946966
57.392,49.03,49.03447531873089
57.792,49.19,49.16174893756056
58.192,49.35,49.28798300097998
58.592,49.51,49.41436417129707
58.992,49.51,49.529104282444514
59.392,49.67,49.643831317423256
59.792,49.82,49.759800588426856
60.192,49.82,49.889016018305895
60.592,49.98,50.0053187316109
60.992,50.14,50.118973520757685
61.392,50.14,50.24114743380116
61.792,50.3,50.36070938215029
62.192,50.45,50.479535796011014
62.592,50.61,50.600964367439595
62.992,50.77,50.727463223274825
63.392,50.92,50.84653808434054
63.792,51.08,50.97001307616793
64.192,51.08,51.098996404052855
64.592,51.23,51.230006538083586
64.992,51.39,51.36046420398747
65.392,51.39,51.49241255312117
65.792,51.54,51.61349133703748
66.192,51.7,51.73367113435687
