time,temperature
126.592,70.59
126.992,70.71
127.392,70.84
127.792,70.97
128.192,71.1
128.592,71.23
128.992,71.35
129.392,71.48
129.792,71.61
130.192,71.74
130.592,71.87
130.992,71.87
131.392,72.12
131.792,72.25
132.192,72.38
132.592,72.5
132.992,72.63
133.392,72.63
133.792,72.76
134.192,72.89
134.592,73.01
134.992,73.14
135.392,73.27
135.792,73.4
136.192,73.52
136.592,73.65
136.992,73.78
137.392,73.9
137.792,74.03
138.192,74.03
138.592,74.16
138.992,74.28
139.392,74.41
139.792,74.54
140.192,74.67
140.592,74.79
140.992,74.92
141.392,75.05
141.792,75.17
142.192,75.3
142.592,75.43
142.992,75.55
143.392,75.68
143.792,75.93
144.192,76.06
144.592,76.18
144.992,76.31
145.392,76.44
145.792,76.56
146.192,76.69
146.592,76.82
146.992,76.94
147.392,77.07
147.792,77.2
148.192,77.45
148.592,77.45
148.992,77.58
149.392,77.7
149.792,77.83
150.192,77.83
150.592,77.95
150.992,78.08
151.392,78.21
151.792,78.21
152.192,78.33
152.592,78.46
152.992,78.59
153.392,78.59
153.792,78.71
154.192,78.84
154.592,78.96
154.992,79.09
155.392,79.09
155.792,79.22
156.192,79.34
156.592,79.34
156.992,79.47
157.392,79.6
157.792,79.72
158.192,79.85
158.592,79.98
158.992,80.1
159.392,80.23
159.792,80.36
160.192,80.48
160.592,80.61
160.992,80.73
161.392,80.86
161.792,80.99
162.192,81.11
162.592,81.24
162.992,81.37
163.392,81.37
163.792,81.49
164.192,81.62
164.592,81.75
164.992,81.75
165.392,82.0
165.792,82.0
166.192,82.13
166.592,82.25
166.992,82.38
167.392,82.51
167.792,82.63
168.192,82.76
168.592,82.89
168.992,82.89
169.392,83.14
169.792,83.14
170.192,83.27
170.592,83.4
170.992,83.4
171.392,83.52
171.792,83.65
172.192,83.78
172.592,83.91
172.992,84.03
173.392,84.03
173.792,84.16
174.192,84.29
174.592,84.42
174.992,84.67
175.392,84.67
175.792,84.93
176.192,85.05
176.592,85.18
176.992,85.31
177.392,85.44
177.792,85.56
178.192,85.69
178.592,85.82
178.992,85.95
179.392,86.08
179.792,86.21
180.192,86.33
180.592,86.33
180.992,86.46
181.392,86.59
181.792,86.72
182.192,86.72
182.592,86.85
182.992,86.98
183.392,87.1
183.792,87.23
184.192,87.36
184.592,87.49
184.992,87.75
185.392,87.88
185.792,88.14
186.192,88.27
186.592,88.53
186.992,88.65
187.392,88.78
187.792,89.04
188.192,89.17
188.592,89.43
188.992,89.56
189.392,89.82
189.792,89.96
190.192,90.22
190.592,90.35
190.992,90.48
191.392,90.74
191.792,90.87
