time,power ratio,temperature
216.544,0.24,78.59
217.044,0.24,78.96
217.544,0.24,78.59
218.044,0.24,78.84
218.544,0.24,78.59
219.044,0.24,78.59
219.544,0.24,79.09
220.044,0.24,78.84
220.544,0.25,78.96
221.044,0.25,78.96
221.544,0.25,78.84
222.044,0.25,78.96
222.544,0.25,79.09
223.044,0.22,79.09
223.544,0.22,78.96
224.044,0.22,79.22
224.544,0.22,79.09
225.044,0.22,79.22
225.544,0.22,79.34
226.044,0.22,79.34
226.544,0.22,79.22
227.044,0.22,79.34
227.544,0.22,79.09
228.044,0.23,79.6
228.544,0.23,79.98
229.044,0.23,79.6
229.544,0.23,79.6
230.044,0.23,80.1
230.544,0.21,80.23
231.044,0.21,79.6
231.544,0.21,79.72
232.044,0.21,80.1
232.544,0.21,80.36
233.044,0.2,80.1
233.544,0.2,79.72
234.044,0.2,79.98
234.544,0.2,79.98
235.044,0.2,79.98
235.544,0.2,80.48
236.044,0.2,79.85
236.544,0.2,80.1
237.044,0.2,80.61
237.544,0.2,80.1
238.044,0.19,80.23
238.544,0.19,80.1
239.044,0.19,80.36
239.544,0.19,80.36
240.044,0.19,80.36
240.544,0.18,80.48
241.044,0.18,80.48
241.544,0.18,80.36
242.044,0.18,80.48
242.544,0.18,80.48
243.044,0.17,80.73
243.544,0.17,80.86
244.044,0.17,80.48
244.544,0.17,80.61
245.044,0.17,80.48
245.544,0.16,80.61
246.044,0.16,80.73
246.544,0.16,80.86
247.044,0.16,80.73
247.544,0.16,80.99
248.044,0.18,80.99
248.544,0.18,80.61
249.044,0.18,80.99
249.544,0.18,80.73
250.044,0.18,80.73
250.544,0.18,80.99
251.044,0.18,80.99
251.544,0.18,80.99
252.044,0.18,80.73
252.544,0.18,80.61
253.044,0.17,81.37
253.544,0.17,80.86
254.044,0.17,80.86
254.544,0.17,80.86
255.044,0.17,80.61
255.544,0.17,80.86
256.044,0.17,80.99
256.544,0.17,81.37
257.044,0.17,81.24
257.544,0.17,80.86
258.044,0.16,81.11
258.544,0.16,80.99
259.044,0.16,81.62
259.544,0.16,81.11
260.044,0.16,81.24
260.544,0.15,81.37
261.044,0.15,81.37
261.544,0.15,81.24
262.044,0.15,81.37
262.544,0.15,81.87
263.044,0.14,81.49
263.544,0.14,81.49
264.044,0.14,81.62
264.544,0.14,81.24
265.044,0.14,81.62
265.544,0.16,81.24
266.044,0.16,81.62
266.544,0.16,81.37
267.044,0.16,81.62
267.544,0.16,81.62
268.044,0.15,81.87
268.544,0.15,81.75
269.044,0.15,81.75
269.544,0.15,81.87
270.044,0.15,81.37
270.544,0.15,81.75
271.044,0.15,81.62
271.544,0.15,82.13
272.044,0.15,82.13
272.544,0.15,81.87
273.044,0.14,82.25
273.544,0.14,81.87
274.044,0.14,81.87
274.544,0.14,82.0
275.044,0.14,81.87
275.544,0.15,81.75
276.044,0.15,81.62
276.544,0.15,81.75
277.044,0.15,81.87
277.544,0.15,81.75
278.044,0.15,82.13
278.544,0.15,82.0
279.044,0.15,82.0
279.544,0.15,82.0
280.044,0.15,82.25
280.544,0.14,82.38
281.044,0.14,82.0
281.544,0.14,82.13
282.044,0.14,81.87
282.544,0.14,82.0
283.044,0.13,82.0
283.544,0.13,82.25
284.044,0.13,82.25
284.544,0.13,82.0
285.044,0.13,82.25
285.544,0.12,82.0
286.044,0.12,82.51
286.544,0.12,82.51
287.044,0.12,82.38
287.544,0.12,82.0
288.044,0.12,82.38
288.544,0.12,82.38
289.044,0.12,82.25
289.544,0.12,82.38
290.044,0.12,82.38
290.544,0.11,82.13
291.044,0.11,82.51
291.544,0.11,82.13
292.044,0.11,82.13
292.544,0.11,82.51
293.044,0.12,82.51
293.544,0.12,82.51
294.044,0.12,82.25
294.544,0.12,82.25
295.044,0.12,82.51
295.544,0.12,82.51
296.044,0.12,82.76
296.544,0.12,82.63
297.044,0.12,82.38
297.544,0.12,82.25
298.044,0.12,82.63
298.544,0.12,82.38
299.044,0.12,82.63
299.544,0.12,82.25
300.044,0.12,82.76
300.544,0.13,82.63
301.044,0.13,82.51
301.544,0.13,82.63
302.044,0.13,82.13
302.544,0.13,82.51
303.044,0.12,82.76
303.544,0.12,82.38
304.044,0.12,82.63
304.544,0.12,82.38
305.044,0.12,82.76
305.544,0.11,82.76
306.044,0.11,82.76
306.544,0.11,82.63
307.044,0.11,82.89
